gorev,kategori,model,dil,tekrar,gecti_sayisi,pass_at_1,pass_at_k,pass_at_k_gecerli,gecen_min,gecen_max,toplam,kararli,hata_tipleri,ort_completion_tok
trc_001,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,1,2,6,False,,128
trc_001,diziler,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,4,6,False,eksik_fonksiyon,178
trc_002,string,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,0,6,6,False,eksik_fonksiyon,117
trc_002,string,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,eksik_fonksiyon;runtime_import,136
trc_003,matematik,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,0,6,6,False,eksik_fonksiyon;runtime_import,127
trc_003,matematik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,eksik_fonksiyon,131
trc_004,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,3,6,False,,156
trc_004,diziler,qwen2.5:0.5b,en,5,1,0.2,1.0,True,0,6,6,False,runtime_import,170
trc_005,string,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,0,6,6,False,eksik_fonksiyon,128
trc_005,string,qwen2.5:0.5b,en,5,3,0.6,1.0,True,2,6,6,False,,87
trc_006,matematik,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,0,6,6,False,eksik_fonksiyon;runtime_import,59
trc_006,matematik,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,45
trc_007,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,syntax,158
trc_007,diziler,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,89
trc_008,string,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon;runtime_import,151
trc_008,string,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,5,6,False,eksik_fonksiyon,68
trc_009,matematik,qwen2.5:0.5b,tr,5,4,0.8,1.0,True,2,6,6,False,,132
trc_009,matematik,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,104
trc_010,mantik,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,0,6,6,False,runtime_import,145
trc_010,mantik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,eksik_fonksiyon,84
trc_011,mantik,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,5,6,False,eksik_fonksiyon,211
trc_011,mantik,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,runtime_import,181
trc_012,mantik,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,0,6,6,False,eksik_fonksiyon,131
trc_012,mantik,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,eksik_fonksiyon,130
trc_013,mantik,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,0,6,6,False,runtime_import;syntax,104
trc_013,mantik,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,82
trc_014,ozyineleme,qwen2.5:0.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,117
trc_014,ozyineleme,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,,60
trc_015,ozyineleme,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,0,6,6,False,runtime_import,153
trc_015,ozyineleme,qwen2.5:0.5b,en,5,1,0.2,1.0,True,0,6,6,False,,103
trc_016,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon,70
trc_016,ozyineleme,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,runtime_import,104
trc_017,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,runtime_import,204
trc_017,ozyineleme,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,eksik_fonksiyon,71
trc_018,sayma,qwen2.5:0.5b,tr,5,4,0.8,1.0,True,2,6,6,False,,103
trc_018,sayma,qwen2.5:0.5b,en,5,1,0.2,1.0,True,0,6,6,False,eksik_fonksiyon,71
trc_019,sayma,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon,144
trc_019,sayma,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,3,6,False,eksik_fonksiyon;runtime_import,188
trc_020,sayma,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,1,3,6,False,,154
trc_020,sayma,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,3,6,False,eksik_fonksiyon,147
trc_021,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,,176
trc_021,diziler,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,3,6,False,runtime_import,251
trc_022,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,0,6,True,eksik_fonksiyon;runtime_import,196
trc_022,diziler,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,4,6,False,runtime_import;timeout,248
trc_023,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,3,6,False,runtime_import,147
trc_023,ozyineleme,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,eksik_fonksiyon,125
trc_024,mantik,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,3,6,6,False,,125
trc_024,mantik,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,0,6,True,eksik_fonksiyon;runtime_import,208
trc_025,string,qwen2.5:0.5b,tr,5,4,0.8,1.0,True,4,6,6,False,,99
trc_025,string,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,eksik_fonksiyon,85
trc_026,string,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,0,6,6,False,runtime_import,119
trc_026,string,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,93
trc_027,string,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,5,6,False,eksik_fonksiyon,180
trc_027,string,qwen2.5:0.5b,en,5,2,0.4,1.0,True,3,6,6,False,,160
trc_028,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,1,6,False,,167
trc_028,diziler,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,3,6,False,eksik_fonksiyon;runtime_import,177
trc_029,string,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,0,6,6,False,eksik_fonksiyon,98
trc_029,string,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,eksik_fonksiyon,175
trc_030,mantik,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,5,6,False,runtime_import,114
trc_030,mantik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,eksik_fonksiyon,117
trc_031,ozyineleme,qwen2.5:0.5b,tr,5,5,1.0,1.0,True,6,6,6,True,,64
trc_031,ozyineleme,qwen2.5:0.5b,en,5,4,0.8,1.0,True,1,6,6,False,,53
trc_032,matematik,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,0,6,6,False,eksik_fonksiyon;runtime_import,159
trc_032,matematik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,runtime_import,130
trc_033,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,2,4,6,False,,156
trc_033,diziler,qwen2.5:0.5b,en,5,0,0.0,0.0,True,0,5,6,False,runtime_import,152
trc_034,string,qwen2.5:0.5b,tr,5,1,0.2,1.0,True,0,6,6,False,eksik_fonksiyon,118
trc_034,string,qwen2.5:0.5b,en,5,4,0.8,1.0,True,2,6,6,False,,172
trc_035,matematik,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,1,6,False,eksik_fonksiyon;runtime_import,138
trc_035,matematik,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,94
trc_036,diziler,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon;runtime_import,146
trc_036,diziler,qwen2.5:0.5b,en,5,4,0.8,1.0,True,0,6,6,False,runtime_import,112
trc_037,string,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,2,6,False,runtime_import,172
trc_037,string,qwen2.5:0.5b,en,5,0,0.0,0.0,True,2,5,6,False,,99
trc_038,matematik,qwen2.5:0.5b,tr,5,3,0.6,1.0,True,0,6,6,False,eksik_fonksiyon,164
trc_038,matematik,qwen2.5:0.5b,en,5,5,1.0,1.0,True,6,6,6,True,,93
trc_039,mantik,qwen2.5:0.5b,tr,5,2,0.4,1.0,True,4,6,6,False,,105
trc_039,mantik,qwen2.5:0.5b,en,5,3,0.6,1.0,True,0,6,6,False,runtime_import;syntax,136
trc_040,mantik,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,3,6,False,eksik_fonksiyon;runtime_import;syntax,387
trc_040,mantik,qwen2.5:0.5b,en,5,4,0.8,1.0,True,4,6,6,False,,182
trc_041,mantik,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,4,5,6,False,,126
trc_041,mantik,qwen2.5:0.5b,en,5,2,0.4,1.0,True,0,6,6,False,runtime_import,89
trc_042,ozyineleme,qwen2.5:0.5b,tr,5,0,0.0,0.0,True,0,0,6,True,eksik_fonksiyon;runtime_import;syntax,330
