gorev,kategori,model,dil,tekrar,gecti_sayisi,pass_at_1,pass_at_k,pass_at_k_gecerli,gecen_min,gecen_max,toplam,kararli,hata_tipleri,ort_completion_tok
trc_001,diziler,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,0,2,6,False,,147
trc_001,diziler,qwen2.5:0.5b,en,3,0,0.0,0.0,True,2,4,6,False,,137
trc_002,string,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,0,4,6,False,eksik_fonksiyon,120
trc_002,string,qwen2.5:0.5b,en,3,2,0.6667,1.0,True,0,6,6,False,eksik_fonksiyon,48
trc_003,matematik,qwen2.5:0.5b,tr,3,3,1.0,1.0,True,6,6,6,True,,125
trc_003,matematik,qwen2.5:0.5b,en,3,1,0.3333,1.0,True,0,6,6,False,eksik_fonksiyon,87
trc_004,diziler,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,2,2,6,True,,176
trc_004,diziler,qwen2.5:0.5b,en,3,0,0.0,0.0,True,3,3,6,True,,93
trc_005,string,qwen2.5:0.5b,tr,3,1,0.3333,1.0,True,0,6,6,False,eksik_fonksiyon,93
trc_005,string,qwen2.5:0.5b,en,3,2,0.6667,1.0,True,5,6,6,False,,73
trc_006,matematik,qwen2.5:0.5b,tr,3,2,0.6667,1.0,True,0,6,6,False,eksik_fonksiyon,45
trc_006,matematik,qwen2.5:0.5b,en,3,2,0.6667,1.0,True,0,6,6,False,eksik_fonksiyon,36
trc_007,diziler,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,0,1,6,False,runtime_import,266
trc_007,diziler,qwen2.5:0.5b,en,3,3,1.0,1.0,True,6,6,6,True,,54
trc_008,string,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,1,5,6,False,,216
trc_008,string,qwen2.5:0.5b,en,3,0,0.0,0.0,True,1,2,6,False,,142
trc_009,matematik,qwen2.5:0.5b,tr,3,3,1.0,1.0,True,6,6,6,True,,145
trc_009,matematik,qwen2.5:0.5b,en,3,3,1.0,1.0,True,6,6,6,True,,139
trc_010,mantik,qwen2.5:0.5b,tr,3,2,0.6667,1.0,True,3,6,6,False,,142
trc_010,mantik,qwen2.5:0.5b,en,3,3,1.0,1.0,True,6,6,6,True,,101
trc_011,mantik,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,0,4,6,False,eksik_fonksiyon,168
trc_011,mantik,qwen2.5:0.5b,en,3,2,0.6667,1.0,True,0,6,6,False,runtime_import,119
trc_012,mantik,qwen2.5:0.5b,tr,3,1,0.3333,1.0,True,0,6,6,False,eksik_fonksiyon,104
trc_012,mantik,qwen2.5:0.5b,en,3,3,1.0,1.0,True,6,6,6,True,,167
trc_013,mantik,qwen2.5:0.5b,tr,3,2,0.6667,1.0,True,0,6,6,False,eksik_fonksiyon,151
trc_013,mantik,qwen2.5:0.5b,en,3,2,0.6667,1.0,True,5,6,6,False,,121
trc_014,ozyineleme,qwen2.5:0.5b,tr,3,3,1.0,1.0,True,6,6,6,True,,65
trc_014,ozyineleme,qwen2.5:0.5b,en,3,3,1.0,1.0,True,6,6,6,True,,62
trc_015,ozyineleme,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,0,2,6,False,runtime_import,168
trc_015,ozyineleme,qwen2.5:0.5b,en,3,0,0.0,0.0,True,1,3,6,False,,159
trc_016,ozyineleme,qwen2.5:0.5b,tr,3,0,0.0,0.0,True,0,2,6,False,eksik_fonksiyon,110
